id_plat,id_notation
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
2,9
2,10
2,11
2,12
2,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
5,32
5,33
5,34
5,35
5,36
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
7,45
7,46
7,47
7,48
7,49
7,50
7,51
7,52
7,53
8,54
8,55
8,56
8,57
8,58
8,59
9,60
9,61
9,62
9,63
9,64
9,65
9,66
9,67
9,68
10,69
10,70
10,71
10,72
10,73
10,74
10,75
10,76
10,77
10,78
11,79
11,80
11,81
11,82
11,83
11,84
11,85
11,86
11,87
11,88
12,89
12,90
12,91
12,92
12,93
12,94
12,95
12,96
12,97
12,98
13,99
13,100
13,101
13,102
13,103
13,104
13,105
14,106
14,107
14,108
14,109
14,110
14,111
14,112
15,113
15,114
15,115
15,116
15,117
15,118
16,119
16,120
16,121
16,122
16,123
16,124
16,125
